experiment,n_features,threshold,event_recall,false_alarm_rate_per_day,pr_auc,operationally_feasible
A,10,0.09,0.5227272727272727,0.1911528764611506,0.46850385712363,True
E,93,0.08,0.4772727272727273,0.19527847811139126,0.4791040819265032,True
C,75,0.07,0.4318181818181818,0.1842768737107495,0.4749576898345839,True
B,70,0.07,0.4318181818181818,0.18290167316066927,0.4698685147780722,True
D,90,0.07,0.4090909090909091,0.1925280770112308,0.47341239762862863,True
