fold_name,config_id,threshold,event_recall,false_alarm_rate_per_day,pr_auc,operationally_feasible
walk_forward_1,extratrees_n100_dnone,0.11,0.6,0.19263845889232886,0.24592300421186117,True
walk_forward_1,lightgbm_lr0.1_leaves127,0.07,0.7333333333333333,0.18988648090815274,0.25315174916431854,True
walk_forward_1,xgboost_lr0.1_d9,0.06,0.6,0.1871345029239766,0.29125919603615663,True
walk_forward_2,extratrees_n100_dnone,0.17,0.6875,0.199264618669197,0.2967704579504755,True
walk_forward_2,lightgbm_lr0.1_leaves127,0.16,0.75,0.1935713438500771,0.3052259110424242,True
walk_forward_2,xgboost_lr0.1_d9,0.11,0.6875,0.19072470644051712,0.2981429954238336,True
