experiment,confirmation_feasible,minimum_event_recall,mean_event_recall,mean_pr_auc,mean_false_alarm_rate_per_day
none,True,0.5333333333333333,0.6416666666666666,0.2585897221494228,0.18907159382032263
class_weight_1,True,0.5333333333333333,0.6416666666666666,0.2585897221494228,0.18907159382032263
undersample_10_to_1,True,0.5333333333333333,0.6416666666666666,0.25589702996760577,0.18314167043774313
