fold,experiment,threshold,event_recall,false_alarm_rate_per_day,pr_auc,operationally_feasible
walk_forward_1,undersample_10_to_1,0.08,0.5333333333333333,0.19263845889232886,0.2453433593458851,True
walk_forward_1,none,0.05,0.5333333333333333,0.17887856897144822,0.24701384971809423,True
walk_forward_1,class_weight_1,0.05,0.5333333333333333,0.17887856897144822,0.24701384971809423,True
walk_forward_2,undersample_10_to_1,0.16,0.75,0.1736448819831574,0.26645070058932646,True
walk_forward_2,none,0.08,0.75,0.199264618669197,0.27016559458075134,True
walk_forward_2,class_weight_1,0.08,0.75,0.199264618669197,0.27016559458075134,True
