threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.0,0.011001604400641761,True
0.02,0.0,0.011001604400641761,True
0.03,0.38636363636363635,0.48407059362823746,False
0.04,0.4318181818181818,0.3823057529223012,False
0.05,0.4090909090909091,0.2942929177171671,False
0.06,0.45454545454545453,0.24066009626403853,False
0.07,0.5,0.22278248911299567,False
0.08,0.5227272727272727,0.20215448086179236,False
0.09,0.5227272727272727,0.1842768737107495,True
0.1,0.5681818181818182,0.1774008709603484,True
0.11,0.5909090909090909,0.15539766215906486,True
0.12,0.6363636363636364,0.14577125830850332,True
0.13,0.6363636363636364,0.14027045610818245,True
0.14,0.6590909090909091,0.12926885170754068,True
0.15,0.6818181818181818,0.11826724730689893,True
0.16,0.6363636363636364,0.11414164565665827,True
0.17,0.6363636363636364,0.10864084345633739,True
0.18,0.6363636363636364,0.09763923905569563,True
0.19,0.6363636363636364,0.08663763465505386,True
0.2,0.6136363636363636,0.07976163190465277,True
0.21,0.5909090909090909,0.07701123080449232,True
0.22,0.6136363636363636,0.06600962640385057,True
0.23,0.6136363636363636,0.061884024753609906,True
0.24,0.6136363636363636,0.055008022003208805,True
0.25,0.5909090909090909,0.04950721980288792,True
0.26,0.5909090909090909,0.04950721980288792,True
0.27,0.5909090909090909,0.0412560165024066,True
0.28,0.5681818181818182,0.039880815952326384,True
0.29,0.5681818181818182,0.035755214302085725,True
0.3,0.5681818181818182,0.03025441210176484,True
0.31,0.5454545454545454,0.02612881045152418,True
0.32,0.5227272727272727,0.0206280082512033,True
0.33,0.5454545454545454,0.022003208801283522,True
0.34,0.5,0.022003208801283522,True
0.35,0.4772727272727273,0.01925280770112308,True
0.36,0.4318181818181818,0.013752005500802201,True
0.37,0.4090909090909091,0.011001604400641761,True
0.38,0.4090909090909091,0.00825120330048132,True
0.39,0.4090909090909091,0.00825120330048132,True
0.4,0.38636363636363635,0.006876002750401101,True
0.41,0.3409090909090909,0.0055008022003208805,True
0.42,0.29545454545454547,0.00412560165024066,True
0.43,0.29545454545454547,0.00412560165024066,True
0.44,0.29545454545454547,0.00412560165024066,True
0.45,0.2727272727272727,0.00412560165024066,True
0.46,0.2727272727272727,0.00412560165024066,True
0.47,0.25,0.0027504011001604402,True
0.48,0.25,0.0013752005500802201,True
0.49,0.25,0.0013752005500802201,True
0.5,0.22727272727272727,0.0013752005500802201,True
0.51,0.20454545454545456,0.0013752005500802201,True
0.52,0.18181818181818182,0.0027504011001604402,True
0.53,0.1590909090909091,0.0027504011001604402,True
0.54,0.13636363636363635,0.0013752005500802201,True
0.55,0.13636363636363635,0.0013752005500802201,True
0.56,0.13636363636363635,0.0013752005500802201,True
0.57,0.13636363636363635,0.0,True
0.58,0.13636363636363635,0.0,True
0.59,0.06818181818181818,0.0,True
0.6,0.045454545454545456,0.0,True
0.61,0.022727272727272728,0.0,True
0.62,0.0,0.0,True
0.63,0.0,0.0,True
0.64,0.0,0.0,True
0.65,0.0,0.0,True
0.66,0.0,0.0,True
0.67,0.0,0.0,True
0.68,0.0,0.0,True
0.69,0.0,0.0,True
0.7,0.0,0.0,True
0.71,0.0,0.0,True
0.72,0.0,0.0,True
0.73,0.0,0.0,True
0.74,0.0,0.0,True
0.75,0.0,0.0,True
0.76,0.0,0.0,True
0.77,0.0,0.0,True
0.78,0.0,0.0,True
0.79,0.0,0.0,True
0.8,0.0,0.0,True
0.81,0.0,0.0,True
0.82,0.0,0.0,True
0.83,0.0,0.0,True
0.84,0.0,0.0,True
0.85,0.0,0.0,True
0.86,0.0,0.0,True
0.87,0.0,0.0,True
0.88,0.0,0.0,True
0.89,0.0,0.0,True
0.9,0.0,0.0,True
0.91,0.0,0.0,True
0.92,0.0,0.0,True
0.93,0.0,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
