threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.0,0.011001604400641761,True
0.02,0.022727272727272728,0.059133623653449464,True
0.03,0.045454545454545456,0.1774008709603484,True
0.04,0.09090909090909091,0.32317212926885175,False
0.05,0.13636363636363635,0.3974329589731836,False
0.06,0.13636363636363635,0.44556497822599134,False
0.07,0.20454545454545456,0.4469401787760715,False
0.08,0.20454545454545456,0.4441897776759111,False
0.09,0.22727272727272727,0.4716937886775155,False
0.1,0.22727272727272727,0.4730689892275957,False
0.11,0.22727272727272727,0.4771945908778364,False
0.12,0.25,0.4634425853770342,False
0.13,0.25,0.46481778592711437,False
0.14,0.2727272727272727,0.4634425853770342,False
0.15,0.29545454545454547,0.46069218427687375,False
0.16,0.3181818181818182,0.44969057987623196,False
0.17,0.3181818181818182,0.42631217052486825,False
0.18,0.3409090909090909,0.43456337382534954,False
0.19,0.3409090909090909,0.424936969974788,False
0.2,0.3409090909090909,0.40568416227366494,False
0.21,0.3409090909090909,0.3974329589731836,False
0.22,0.36363636363636365,0.3878065551226221,False
0.23,0.36363636363636365,0.393307357322943,False
0.24,0.36363636363636365,0.3905569562227825,False
0.25,0.36363636363636365,0.3891817556727023,False
0.26,0.36363636363636365,0.40155856062342427,False
0.27,0.36363636363636365,0.393307357322943,False
0.28,0.36363636363636365,0.3878065551226221,False
0.29,0.36363636363636365,0.3823057529223012,False
0.3,0.36363636363636365,0.3823057529223012,False
0.31,0.36363636363636365,0.3850561540224616,False
0.32,0.36363636363636365,0.3754297501719001,False
0.33,0.36363636363636365,0.3754297501719001,False
0.34,0.38636363636363635,0.37130414852165944,False
0.35,0.38636363636363635,0.3754297501719001,False
0.36,0.38636363636363635,0.3630529452211781,False
0.37,0.38636363636363635,0.3644281457712583,False
0.38,0.4090909090909091,0.36717854687141877,False
0.39,0.4090909090909091,0.3589273435709375,False
0.4,0.4090909090909091,0.3506761402704561,False
0.41,0.45454545454545453,0.3355489342195737,False
0.42,0.45454545454545453,0.3286729314691726,False
0.43,0.45454545454545453,0.3190465276186111,False
0.44,0.45454545454545453,0.3135457254182902,False
0.45,0.45454545454545453,0.30391932156772866,False
0.46,0.45454545454545453,0.30391932156772866,False
0.47,0.4772727272727273,0.299793719917488,False
0.48,0.4772727272727273,0.2942929177171671,False
0.49,0.4772727272727273,0.2901673160669264,False
0.5,0.4772727272727273,0.27228970891588355,False
0.51,0.5,0.2612881045152418,False
0.52,0.5227272727272727,0.24478569791427918,False
0.53,0.5227272727272727,0.2461608984643594,False
0.54,0.5227272727272727,0.24203529681411873,False
0.55,0.5227272727272727,0.23240889296355718,False
0.56,0.5,0.21728168691267477,False
0.57,0.5,0.21315608526243413,False
0.58,0.5454545454545454,0.1994040797616319,True
0.59,0.5227272727272727,0.1966536786614715,True
0.6,0.5227272727272727,0.18152647261058905,True
0.61,0.5454545454545454,0.17602567041026818,True
0.62,0.5454545454545454,0.18015127206050882,True
0.63,0.5227272727272727,0.17465046986018795,True
0.64,0.5227272727272727,0.1719000687600275,True
0.65,0.5227272727272727,0.16364886545954618,True
0.66,0.5227272727272727,0.1650240660096264,True
0.67,0.5227272727272727,0.15402246160898464,True
0.68,0.5454545454545454,0.14027045610818245,True
0.69,0.5227272727272727,0.13339445335778136,True
0.7,0.5227272727272727,0.12789365115746046,True
0.71,0.5227272727272727,0.11276644510657804,True
0.72,0.5227272727272727,0.10589044235617695,True
0.73,0.5454545454545454,0.09763923905569563,True
0.74,0.5454545454545454,0.09488883795553518,True
0.75,0.5454545454545454,0.09076323630529452,True
0.76,0.5681818181818182,0.07701123080449232,True
0.77,0.5681818181818182,0.07426082970433188,True
0.78,0.5454545454545454,0.07426082970433188,True
0.79,0.5454545454545454,0.068760027504011,True
0.8,0.5909090909090909,0.06325922530369013,True
0.81,0.5681818181818182,0.059133623653449464,True
0.82,0.5454545454545454,0.04538161815264726,True
0.83,0.5454545454545454,0.03713041485216594,True
0.84,0.5909090909090909,0.02475360990144396,True
0.85,0.5681818181818182,0.017877607151042862,True
0.86,0.5227272727272727,0.01650240660096264,True
0.87,0.5,0.01650240660096264,True
0.88,0.45454545454545453,0.00825120330048132,True
0.89,0.4318181818181818,0.0027504011001604402,True
0.9,0.3181818181818182,0.0027504011001604402,True
0.91,0.25,0.0013752005500802201,True
0.92,0.11363636363636363,0.0013752005500802201,True
0.93,0.06818181818181818,0.0013752005500802201,True
0.94,0.0,0.0013752005500802201,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
