experiment_id,storm_threshold,horizon_hours,is_primary_control,selected_config_id,selected_threshold,event_recall,n_events,n_detected_events,n_alert_episodes,false_alarm_episodes,valid_exposure_hours,exposure_days,far_per_day,target_prevalence,walk_forward_1_threshold,walk_forward_2_threshold,stability_threshold_min,stability_threshold_max,stability_threshold_count,protected_final_test_scored
t5_h3,5.0,3,False,lightgbm_lr0.1_leaves127,0.05,0.6774193548387096,31,21,231,209,25873,1078.0416666666667,0.19387005758899237,0.008193870057588992,0.04,0.08,0.05,0.07,3,False
t5_h6,5.0,6,True,lightgbm_lr0.1_leaves127,0.1,0.6774193548387096,31,21,222,200,25873,1078.0416666666667,0.185521586209562,0.011827001120859583,0.07,0.16,0.1,0.13,4,False
t5_h12,5.0,12,False,lightgbm_lr0.1_leaves127,0.13,0.8387096774193549,31,26,237,208,25873,1078.0416666666667,0.19294244965794455,0.018938661925559465,0.11,0.19,0.13,0.16,4,False
t5_h24,5.0,24,False,lightgbm_lr0.1_leaves127,0.2,0.9032258064516129,31,28,245,209,25873,1078.0416666666667,0.19387005758899237,0.032466277586673364,0.18,0.23,0.2,0.22,3,False
